-31.456868471163236,-64.214673049091061,10,gps,21:00:00
-31.456868471163236,-64.214673049091061,10,gps,21:00:00
-31.45677605367871,-64.214655008378681,10,gps,21:00:00
-31.45677605367871,-64.214655008378681,10,gps,21:00:00
-31.456680163351297,-64.214634134455381,10,gps,21:00:00
-31.456680163351297,-64.214634134455381,10,gps,21:00:00
-31.456583557829536,-64.214610291036051,10,gps,21:00:00
-31.456583557829536,-64.214610291036051,10,gps,21:00:00
-31.456491410414067,-64.214590051063231,10,gps,21:00:00
-31.456491410414067,-64.214590051063231,10,gps,21:00:00
-31.456408282951553,-64.214572077704121,9,gps,21:00:00
-31.456408282951553,-64.214572077704121,9,gps,21:00:00
-31.456333534194076,-64.214557986177941,8,gps,21:00:00
-31.456333534194076,-64.214557986177941,8,gps,21:00:00
-31.45627170613115,-64.214533668516671,6,gps,21:00:00
-31.45627170613115,-64.214533668516671,6,gps,21:00:00
-31.456222077144773,-64.214500026048981,6,gps,21:00:00
-31.456222077144773,-64.214500026048981,6,gps,21:00:00
-31.45618707696433,-64.214449378545651,6,gps,21:00:00
-31.45618707696433,-64.214449378545651,6,gps,21:00:00
-31.456163496349337,-64.214382647703351,6,gps,21:00:00
-31.456163496349337,-64.214382647703351,6,gps,21:00:00
-31.45616527553636,-64.214314367003141,6,gps,21:00:00
-31.45616527553636,-64.214314367003141,6,gps,21:00:00
-31.456174995725334,-64.214243155286481,6,gps,21:00:00
-31.456174995725334,-64.214243155286481,6,gps,21:00:00
-31.456177244826684,-64.21417409100381,6,gps,21:00:00
-31.456177244826684,-64.21417409100381,6,gps,21:00:00
-31.45616681730816,-64.214109904733971,6,gps,21:00:00
-31.45616681730816,-64.214109904733971,6,gps,21:00:00
-31.456137139996226,-64.214052169790361,6,gps,21:00:00
-31.456137139996226,-64.214052169790361,6,gps,21:00:00
-31.45608909555672,-64.214011106353771,6,gps,21:00:00
-31.45608909555672,-64.214011106353771,6,gps,21:00:00
-31.456018992911652,-64.21398986758131,8,gps,21:00:00
-31.456018992911652,-64.21398986758131,8,gps,21:00:00
-31.455954090558958,-64.213971619520851,7,gps,21:00:00
-31.455954090558958,-64.213971619520851,7,gps,21:00:00
-31.455887854721773,-64.213953881249411,7,gps,21:00:00
-31.455887854721773,-64.213953881249411,7,gps,21:00:00
-31.45579937565191,-64.213926503371681,10,gps,21:00:00
-31.45579937565191,-64.213926503371681,10,gps,21:00:00
-31.455696122714283,-64.213894670561,11,gps,21:00:00
-31.455696122714283,-64.213894670561,11,gps,21:00:00
-31.45559955315076,-64.213870843219571,10,gps,21:00:00
-31.45559955315076,-64.213870843219571,10,gps,21:00:00
-31.45550981648957,-64.213844307877311,10,gps,21:00:00
-31.45550981648957,-64.213844307877311,10,gps,21:00:00
-31.455408028495565,-64.213814052833631,11,gps,21:00:00
-31.455408028495565,-64.213814052833631,11,gps,21:00:00
-31.45530393103038,-64.213784274152691,11,gps,21:00:00
-31.45530393103038,-64.213784274152691,11,gps,21:00:00
-31.455195805306783,-64.213753466346771,12,gps,21:00:00
-31.455195805306783,-64.213753466346771,12,gps,21:00:00
-31.455083766009984,-64.213722822699141,12,gps,21:00:00
-31.455083766009984,-64.213722822699141,12,gps,21:00:00
-31.45498838637535,-64.21369661007261,10,gps,21:00:00
-31.45498838637535,-64.21369661007261,10,gps,21:00:00
-31.454888858243415,-64.213669609239181,10,gps,21:00:00
-31.454888858243415,-64.213669609239181,10,gps,21:00:00
-31.45478110489229,-64.213636883556731,12,gps,21:00:00
-31.45478110489229,-64.213636883556731,12,gps,21:00:00
-31.454679606091155,-64.213610832001541,11,gps,21:00:00
-31.454679606091155,-64.213610832001541,11,gps,21:00:00
-31.454573714818945,-64.213582554320521,11,gps,21:00:00
-31.454573714818945,-64.213582554320521,11,gps,21:00:00
-31.454468422338905,-64.213555294365951,11,gps,21:00:00
-31.454468422338905,-64.213555294365951,11,gps,21:00:00
-31.45434623692299,-64.213522087860411,13,gps,21:00:00
-31.45434623692299,-64.213522087860411,13,gps,21:00:00
-31.45422633923339,-64.213488886938391,12,gps,21:00:00
-31.45422633923339,-64.213488886938391,12,gps,21:00:00
-31.454110114003413,-64.213456437961091,12,gps,21:00:00
-31.454110114003413,-64.213456437961091,12,gps,21:00:00
-31.45399666856641,-64.213422802793721,12,gps,21:00:00
-31.45399666856641,-64.213422802793721,12,gps,21:00:00
-31.45388382198835,-64.213398357294421,11,gps,21:00:00
-31.45388382198835,-64.213398357294421,11,gps,21:00:00
-31.45377143285264,-64.213367517653721,11,gps,21:00:00
-31.45377143285264,-64.213367517653721,11,gps,21:00:00
-31.453647582844347,-64.21333491736811,11,gps,21:00:00
-31.453647582844347,-64.21333491736811,11,gps,21:00:00
-31.453534214719806,-64.213308777814161,11,gps,21:00:00
-31.453534214719806,-64.213308777814161,11,gps,21:00:00
-31.453427967394916,-64.21327719825151,10,gps,21:00:00
-31.453427967394916,-64.21327719825151,10,gps,21:00:00
-31.453326774050254,-64.213246503872071,10,gps,21:00:00
-31.453326774050254,-64.213246503872071,10,gps,21:00:00
-31.453234298649225,-64.213227440846621,9,gps,21:00:00
-31.453234298649225,-64.213227440846621,9,gps,21:00:00
-31.45314736226206,-64.213203024394221,9,gps,21:00:00
-31.45314736226206,-64.213203024394221,9,gps,21:00:00
-31.45306653532535,-64.213178833814921,8,gps,21:00:00
-31.45306653532535,-64.213178833814921,8,gps,21:00:00
-31.452983499366702,-64.213157833381541,9,gps,21:00:00
-31.452983499366702,-64.213157833381541,9,gps,21:00:00
